,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
10615,13.5,46.0,41.6,,0.01,0.76,,44.65,WR,PETDB-2718-BA26
10616,13.5,46.0,43.81,0.05,0.01,2.64,,38.97,WR,PETDB-2718-BA32
10617,13.5,46.0,43.65,0.02,,2.26,,42.42,WR,PETDB-2718-BA37
10618,13.5,46.0,40.22,,,1.47,,46.09,WR,PETDB-2718-BA39
10619,13.5,46.0,37.49,,,0.35,,48.81,WR,PETDB-2718-BA42
10620,13.5,46.0,40.87,,,0.58,,47.33,WR,PETDB-2718-BA44
10621,13.5,46.0,41.21,,,1.25,,45.75,WR,PETDB-2718-BA46
10622,13.5,46.0,42.04,,0.01,1.65,,44.26,WR,PETDB-2718-BA48
10623,13.5,46.0,43.0,0.05,,3.0,,40.32,WR,PETDB-2718-BA49
10624,13.5,46.0,42.73,0.01,0.01,0.99,,46.24,WR,PETDB-2718-BA50
10625,13.5,46.0,40.84,,,0.76,,46.82,WR,PETDB-2718-BA52
10626,13.5,46.0,42.03,,,0.74,,45.44,WR,PETDB-2718-BA53
10627,13.5,46.0,44.65,0.43,,19.27,,13.66,WR,PETDB-2718-BA55
10628,13.5,46.0,51.94,0.89,0.07,13.49,,18.98,WR,PETDB-2718-BA56
10629,13.5,46.0,41.26,0.22,0.13,12.02,,22.14,WR,PETDB-2718-YE19N
10630,13.5,46.0,44.68,0.28,0.02,13.83,,22.22,WR,PETDB-2718-YE19X1
10631,13.5,46.0,48.45,0.25,0.13,13.59,,24.13,WR,PETDB-2718-YE19X4
10632,13.5,46.0,46.54,0.5,0.07,17.81,,14.84,WR,PETDB-2718-YE20N2
10633,13.5,46.0,43.19,0.13,0.17,11.34,,26.49,WR,PETDB-2718-YE20X2
1985,19.9519,110.124,50.69,2.84,1.33,8.47,,7.88,WR,PETDB-2723-CM-2
10643,19.9519,110.124,50.51,2.97,1.31,8.51,,8.04,WR,PETDB-2723-CM-1
1986,19.9389,110.348,52.56,3.19,0.99,8.44,,6.88,WR,PETDB-2723-LQ-3
10644,19.9389,110.348,52.56,2.69,0.89,8.52,,7.07,WR,PETDB-2723-LQ-1
10645,19.9389,110.348,52.79,2.74,0.95,8.39,,6.92,WR,PETDB-2723-LQ-2
1987,19.8558,110.364,52.84,2.68,0.87,8.47,,7.02,WR,PETDB-2723-LQZ-2
1988,19.8558,110.364,52.57,3.16,0.91,8.44,,6.96,WR,PETDB-2723-LQZ-3
10646,19.8558,110.364,52.81,2.79,0.87,8.49,,7.02,WR,PETDB-2723-LQZ-1
1989,19.7722,110.334,50.75,2.72,1.06,8.47,,8.29,WR,PETDB-2723-ZT-1
1990,19.7722,110.334,50.74,2.99,1.09,8.4,,8.3,WR,PETDB-2723-ZT-2
1991,19.7722,110.334,50.69,3.15,1.12,8.4,,8.17,WR,PETDB-2723-ZT-3
2000,19.9006,110.041,53.03,2.93,0.96,8.17,,7.19,WR,PETDB-2723-DF3-3
10654,19.9006,110.041,51.61,3.02,1.43,8.9,,6.68,WR,PETDB-2723-DF1-1
10655,19.9006,110.041,53.16,2.68,0.95,8.26,,7.21,WR,PETDB-2723-DF2-1
10656,19.9006,110.041,53.13,2.67,0.92,8.22,,7.3,WR,PETDB-2723-DF2-2
10657,19.9006,110.041,53.21,2.82,0.94,8.19,,7.04,WR,PETDB-2723-DF2-3
10658,19.9006,110.041,52.96,2.89,0.95,8.15,,7.3,WR,PETDB-2723-DF3-1
10659,19.9006,110.041,53.24,2.67,0.98,8.28,,7.07,WR,PETDB-2723-DF3-2
2003,19.7961,109.768,48.64,3.3,1.96,8.19,,7.67,WR,PETDB-2723-DWL-3
2005,19.7567,110.404,51.15,2.8,1.13,8.56,,7.42,WR,PETDB-2723-JZ-1
10668,19.7567,110.404,51.0,2.77,1.23,8.64,,7.89,WR,PETDB-2723-JZ-2
2006,19.4719,110.328,50.54,2.83,1.33,8.69,,8.08,WR,PETDB-2723-LM-1
2007,19.4719,110.328,49.98,2.82,1.28,8.69,,8.29,WR,PETDB-2723-LM-2
2012,19.7431,110.596,51.81,2.68,0.73,8.71,,7.8,WR,PETDB-2723-SMP-3
2013,19.7431,110.596,52.08,2.8,0.77,9.3,,5.92,WR,PETDB-2723-SMP-4
10677,19.7431,110.596,51.85,2.86,0.74,8.67,,7.45,WR,PETDB-2723-SMP-5
2014,19.9222,110.344,49.11,2.89,1.46,9.11,,9.66,WR,PETDB-2723-BP-1
2015,19.9222,110.344,49.19,2.76,1.47,9.12,,9.54,WR,PETDB-2723-BP-3
10678,19.9222,110.344,48.88,3.28,1.47,9.05,,9.66,WR,PETDB-2723-BP-2
2016,19.9222,110.345,49.13,2.66,1.43,9.28,,9.75,WR,PETDB-2723-BP-5
10679,19.9222,110.345,48.71,3.64,1.51,9.03,,9.6,WR,PETDB-2723-BP-4
2017,19.92,110.215,50.7,3.29,1.66,8.9,,6.7,WR,PETDB-2723-FL-1
2022,19.9208,110.266,49.73,2.91,2.01,9.09,,7.38,WR,PETDB-2723-YX-4
2023,19.9208,110.266,49.47,3.54,1.99,9.36,,7.32,WR,PETDB-2723-YX-5
10682,19.9208,110.266,48.36,2.6,1.76,8.37,,11.28,WR,PETDB-2723-YX-1
10683,19.9208,110.266,48.36,2.79,1.75,8.41,,11.19,WR,PETDB-2723-YX-2
10684,19.9208,110.266,49.92,3.23,2.36,8.47,,6.47,WR,PETDB-2723-YX-3
2067,-0.2691,-91.1167,48.88,2.97,0.69,9.63,,5.58,WR,PETDB-2746-DG23
2068,-0.2691,-91.1167,48.32,2.76,0.58,9.45,,5.28,WR,PETDB-2746-DG4
