,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
76,Shishaldin,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
77,Shishaldin,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
78,Raikoke,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
79,Raikoke,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
80,Raikoke,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
81,Colima,WR,TRACHYBASALT,BASALTIC ANDESITE,PHONO-TEPHRITE,No Data,No Data,3,2,1,0,0
82,Colima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
83,Colima,INC,TRACHYBASALT,PHONO-TEPHRITE,BASALTIC ANDESITE,BASALTIC TRACHYANDESITE,No Data,4,3,2,2,0
84,Planchon-Peteroa,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
85,Planchon-Peteroa,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
86,Planchon-Peteroa,INC,ANDESITE,DACITE,No Data,No Data,No Data,1,1,0,0,0
87,Agung,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
88,Agung,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
89,Agung,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
90,Bogoslof,WR,TRACHYTE/TRACHYDACITE,TRACHYANDESITE,BASALT,No Data,No Data,1,1,1,0,0
91,Bogoslof,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
92,Bogoslof,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
93,Bezymianny,WR,BASALT,BASALTIC TRACHYANDESITE,TRACHYBASALT,No Data,No Data,3,1,1,0,0
94,Bezymianny,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
95,Bezymianny,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
96,Rinjani,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
97,Rinjani,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
98,Rinjani,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
99,Momotombo,WR,ANDESITE,PICROBASALT,BASALTIC ANDESITE,No Data,No Data,3,1,1,0,0
100,Momotombo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
101,Momotombo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
102,Masaya,WR,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,16,5,0,0,0
103,Masaya,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
104,Masaya,INC,BASALTIC ANDESITE,BASALT,No Data,No Data,No Data,6,1,0,0,0
105,Hakoneyama,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
106,Hakoneyama,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
107,Hakoneyama,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
108,Pacaya,WR,BASALT,No Data,No Data,No Data,No Data,3,0,0,0,0
109,Pacaya,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
110,Pacaya,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
111,Villarrica,WR,BASALT,No Data,No Data,No Data,No Data,5,0,0,0,0
112,Villarrica,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
113,Villarrica,INC,BASALTIC ANDESITE,ANDESITE,No Data,No Data,No Data,2,1,0,0,0
114,"Ruiz, Nevado del",WR,ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
115,"Ruiz, Nevado del",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
116,"Ruiz, Nevado del",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
117,Rabaul,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
118,Rabaul,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
119,Rabaul,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
120,Etorofu-Yakeyama [Grozny Group],WR,ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
